snow_type_dry,snow_type_unknown,snow_type_wet,trigger_type_explosive,trigger_type_natural,trigger_type_unknown,max_elevation,min_elevation,aspect_degrees,length,width,perimeter,area,aval_size_class,weight_AAI,risk_index
1,0,0,0,1,0,2627.0,2524.0,76.0,163.0,56.0,381.0,6277.0,2,2,0
0,1,0,0,1,0,2646.0,2521.0,42.0,188.0,24.0,400.0,3259.0,2,2,0
0,1,0,0,1,0,2214.0,2128.0,41.0,191.0,70.0,442.0,9706.0,2,2,0
0,1,0,0,1,0,2509.0,2351.0,37.0,190.0,94.0,468.0,11018.0,2,2,0
0,1,0,0,0,1,2655.0,2005.0,244.0,1088.0,200.0,2389.0,120264.0,4,4,0
0,1,0,0,1,0,2535.0,2385.0,53.0,190.0,20.0,394.0,2100.0,2,2,0
0,1,0,0,1,0,2339.0,2229.0,141.0,189.0,61.0,454.0,8564.0,2,2,0
1,0,0,0,1,0,2529.0,2433.0,304.0,163.0,91.0,430.0,10969.0,2,2,0
1,0,0,0,1,0,2553.0,2461.0,268.0,148.0,42.0,340.0,4778.0,2,2,0
0,1,0,0,1,0,2486.0,2379.0,295.0,179.0,40.0,413.0,5633.0,2,2,0
0,1,0,0,1,0,2711.0,2595.0,100.0,190.0,33.0,412.0,2973.0,2,2,0
0,1,0,0,1,0,2580.0,2483.0,231.0,187.0,19.0,396.0,3036.0,2,2,0
0,0,1,0,1,0,2555.0,2355.0,48.0,317.0,33.0,744.0,6867.0,3,3,2
1,0,0,0,1,0,2607.0,2541.0,244.0,105.0,33.0,250.0,2934.0,2,2,2
0,1,0,0,1,0,2618.0,2476.0,40.0,190.0,46.0,418.0,6918.0,2,2,1
0,1,0,0,1,0,2029.0,1925.0,141.0,191.0,65.0,472.0,9634.0,2,2,1
0,1,0,0,0,1,2003.0,1808.0,66.0,402.0,94.0,886.0,15689.0,3,3,1
0,0,1,0,1,0,2082.0,1920.0,124.0,246.0,87.0,714.0,12559.0,2,2,2
0,0,1,0,1,0,2422.0,2250.0,59.0,257.0,84.0,649.0,13472.0,2,2,2
0,0,1,0,1,0,2686.0,2523.0,233.0,266.0,85.0,630.0,16573.0,2,2,2
0,0,1,0,1,0,2185.0,2092.0,259.0,123.0,66.0,320.0,5617.0,2,2,2
0,0,1,0,1,0,2586.0,2462.0,51.0,219.0,150.0,698.0,22236.0,2,2,2
0,0,1,0,1,0,2099.0,1991.0,41.0,125.0,22.0,262.0,2007.0,2,2,2
1,0,0,0,1,0,1687.0,1626.0,54.0,71.0,136.0,352.0,6978.0,2,2,2
1,0,0,0,1,0,2450.0,2409.0,352.0,128.0,84.0,346.0,8184.0,2,2,2
1,0,0,0,0,0,2568.0,2280.0,99.0,685.0,162.0,1506.0,56610.0,3,3,2
0,0,1,0,1,0,2239.0,1999.0,21.0,385.0,86.0,856.0,17541.0,3,3,2
0,0,1,0,1,0,2056.0,1909.0,57.0,260.0,82.0,574.0,13458.0,2,2,2
0,0,1,0,1,0,2291.0,1906.0,123.0,590.0,94.0,1259.0,25590.0,3,3,2
0,0,1,0,1,0,2060.0,2030.0,177.0,52.0,67.0,191.0,2544.0,2,2,2
1,0,0,0,0,0,2622.0,2590.0,295.0,34.0,13.0,81.0,297.0,1,1,1
0,0,1,0,1,0,2259.0,2246.0,120.0,28.0,31.0,96.0,654.0,1,1,1
1,0,0,0,0,0,1936.0,1925.0,143.0,19.0,44.0,111.0,639.0,1,1,1
0,0,1,0,1,0,2054.0,1861.0,258.0,274.0,41.0,590.0,6528.0,2,2,1
0,0,1,0,1,0,2010.0,1900.0,172.0,220.0,44.0,480.0,5540.0,2,2,1
0,0,1,0,1,0,2075.0,1896.0,65.0,230.0,94.0,609.0,11174.0,2,2,1
0,0,1,0,1,0,2453.0,2436.0,53.0,10.0,22.0,60.0,206.0,1,1,1
0,0,1,0,1,0,2467.0,2217.0,185.0,373.0,112.0,1006.0,16722.0,3,3,1
0,0,1,0,1,0,2699.0,2454.0,185.0,413.0,68.0,869.0,12629.0,3,3,1
0,1,0,0,0,0,2682.0,2632.0,280.0,63.0,16.0,136.0,624.0,2,2,2
0,1,0,0,0,0,1937.0,1896.0,127.0,72.0,29.0,182.0,1790.0,2,2,2
0,1,0,0,0,0,1962.0,1917.0,204.0,72.0,28.0,170.0,1636.0,2,2,2
0,1,0,0,0,0,2033.0,1995.0,150.0,66.0,35.0,168.0,1746.0,2,2,2
0,1,0,0,0,0,2554.0,2507.0,349.0,69.0,14.0,143.0,631.0,2,2,2
0,1,0,0,0,0,2024.0,1988.0,132.0,69.0,43.0,201.0,1966.0,2,2,2
0,1,0,0,0,0,1529.0,1486.0,130.0,70.0,52.0,214.0,2769.0,2,2,2
0,1,0,0,0,0,2362.0,2342.0,136.0,69.0,84.0,251.0,4647.0,2,2,2
0,1,0,0,0,0,2464.0,2424.0,137.0,68.0,10.0,155.0,660.0,2,2,2
0,0,1,0,1,0,2007.0,1677.0,35.0,565.0,111.0,1249.0,22275.0,3,3,1
0,1,0,0,0,0,2564.0,2502.0,317.0,72.0,19.0,157.0,817.0,2,2,2
0,0,1,0,1,0,2060.0,1972.0,129.0,140.0,41.0,326.0,3784.0,2,2,1
0,0,1,0,1,0,2564.0,2295.0,49.0,440.0,30.0,917.0,7631.0,3,3,1
0,0,1,0,1,0,2545.0,2496.0,151.0,56.0,15.0,125.0,610.0,2,2,1
1,0,0,0,0,0,2149.0,2077.0,89.0,124.0,38.0,281.0,3475.0,2,2,1
0,1,0,0,0,0,2272.0,2220.0,222.0,70.0,36.0,176.0,1589.0,2,2,2
0,1,0,0,0,0,1904.0,1865.0,162.0,68.0,19.0,155.0,806.0,2,2,2
0,1,0,0,1,0,2425.0,2322.0,31.0,168.0,44.0,383.0,5982.0,2,2,2
1,0,0,0,1,0,2392.0,2356.0,332.0,69.0,60.0,211.0,3094.0,2,2,2
0,1,0,0,1,0,2483.0,2379.0,291.0,181.0,87.0,467.0,12016.0,2,2,2
0,1,0,0,1,0,2537.0,2429.0,209.0,172.0,49.0,391.0,5747.0,2,2,2
0,1,0,0,1,0,2466.0,2389.0,61.0,177.0,36.0,388.0,4483.0,2,2,2
1,0,0,0,1,0,2283.0,2220.0,254.0,123.0,38.0,287.0,3606.0,2,2,1
1,0,0,0,0,0,1907.0,1752.0,136.0,241.0,27.0,519.0,3546.0,2,2,0
1,0,0,0,1,0,2495.0,2411.0,124.0,123.0,18.0,267.0,1610.0,2,2,0
1,0,0,0,0,0,2081.0,1928.0,281.0,240.0,25.0,515.0,4605.0,2,2,0
1,0,0,1,0,0,2585.0,2444.0,280.0,315.0,135.0,746.0,27184.0,3,3,0
1,0,0,0,1,0,2589.0,2528.0,135.0,162.0,71.0,404.0,9047.0,2,2,0
1,0,0,0,0,0,2329.0,1859.0,46.0,627.0,127.0,1369.0,11439.0,3,3,0
1,0,0,0,1,0,2558.0,2476.0,239.0,164.0,39.0,380.0,5769.0,2,2,0
1,0,0,0,1,0,2566.0,2467.0,148.0,157.0,23.0,329.0,1250.0,2,2,2
0,1,0,0,1,0,2342.0,2236.0,328.0,182.0,26.0,383.0,2577.0,2,2,2
1,0,0,0,0,0,2439.0,2300.0,195.0,223.0,37.0,506.0,6055.0,2,2,2
1,0,0,0,0,0,2082.0,1945.0,299.0,231.0,37.0,499.0,5118.0,2,2,2
